Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Edge 17,,2018-07-29 12:38:55,2018-07-29 12:40:00,"1m - 4,603s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Edge 17,,2018-07-29 12:38:55,2018-07-29 12:39:59,"1m - 3,780s",PASSED
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:38:56,2018-07-29 12:39:01,"5,587s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:39:01,2018-07-29 12:39:08,"7,033s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().clickUpperButtonCreateItem(),Edge 17,create new item by clicking on CREATE NEW ITEM button,2018-07-29 12:39:08,2018-07-29 12:39:11,"2,775s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(),Edge 17,choose template  ,2018-07-29 12:39:11,2018-07-29 12:39:13,"2,283s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Edge 17,set item name,2018-07-29 12:39:13,2018-07-29 12:39:18,"4,747s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getGeneralTab().getHtmlEditor().clickEditHTML(),Edge 17,set updated date,2018-07-29 12:39:18,2018-07-29 12:39:23,"4,453s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSaveAndRelocateToLastFolder(),Edge 17,save to last folder,2018-07-29 12:39:23,2018-07-29 12:39:28,"5,643s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().searchByFirstDescriptionWord(),Edge 17,find item by each of description word in the search dropdown list,2018-07-29 12:39:28,2018-07-29 12:39:28,"0,000s",NOT_RUN
Statement - com.system.RolesHelper.getCm_En().deleteAllCreatedItems(),Edge 17,delete all items,2018-07-29 12:39:28,2018-07-29 12:39:56,"27,489s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Edge 17,click home page,2018-07-29 12:39:56,2018-07-29 12:39:56,"0,049s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Edge 17,logout from system,2018-07-29 12:39:56,2018-07-29 12:39:58,"2,645s",PASSED
closeBrowser,Edge 17,close browser,2018-07-29 12:39:58,2018-07-29 12:39:59,"0,909s",PASSED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:39:59,2018-07-29 12:39:59,"0,001s",PASSED
