Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 12:54:55,2018-07-29 12:56:00,"1m - 4,808s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Firefox 61.0,,2018-07-29 12:54:56,2018-07-29 12:56:00,"1m - 3,975s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:54:56,2018-07-29 12:55:04,"7,576s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:55:04,2018-07-29 12:55:09,"5,287s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Firefox 61.0,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:55:09,2018-07-29 12:55:28,"19,187s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Firefox 61.0,choose template  ,2018-07-29 12:55:28,2018-07-29 12:55:34,"5,597s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,fill property tab ,2018-07-29 12:55:34,2018-07-29 12:55:40,"5,945s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Firefox 61.0,Click Save and verify if saved in last folder,2018-07-29 12:55:40,2018-07-29 12:55:44,"4,010s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Firefox 61.0,Click Delete by id and verify if deleted from last folder,2018-07-29 12:55:44,2018-07-29 12:55:56,"11,978s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 12:55:56,2018-07-29 12:55:56,"0,267s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 12:55:56,2018-07-29 12:56:00,"3,753s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 12:56:00,2018-07-29 12:56:00,"0,234s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:56:00,2018-07-29 12:56:00,"0,004s",PASSED
