Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,IE 11,,2018-07-29 13:01:54,2018-07-29 13:03:21,"1m - 27,654s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,IE 11,,2018-07-29 13:01:54,2018-07-29 13:03:21,"1m - 26,322s",ERROR
Start listener action : beforeTestCase,IE 11,,2018-07-29 13:01:54,2018-07-29 13:01:59,"4,836s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),IE 11,login as content manager,2018-07-29 13:01:59,2018-07-29 13:02:13,"13,747s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),IE 11,"Right click the last folder and choose ""New Item"" ",2018-07-29 13:02:13,2018-07-29 13:02:19,"6,200s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),IE 11,choose template  ,2018-07-29 13:02:19,2018-07-29 13:03:20,"1m - 1,107s",PASSED
Start listener action : afterTestCase,IE 11,,2018-07-29 13:03:20,2018-07-29 13:03:21,"0,321s",PASSED
