Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-29 13:01:54,2018-07-29 13:02:52,"58,131s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Chrome 67.0.3396.99,,2018-07-29 13:01:54,2018-07-29 13:02:52,"57,435s",PASSED
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 13:01:54,2018-07-29 13:02:03,"8,441s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 13:02:03,2018-07-29 13:02:19,"16,503s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Chrome 67.0.3396.99,"Right click the last folder and choose ""New Item"" ",2018-07-29 13:02:19,2018-07-29 13:02:21,"1,415s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Chrome 67.0.3396.99,choose template  ,2018-07-29 13:02:21,2018-07-29 13:02:26,"5,467s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Chrome 67.0.3396.99,fill property tab ,2018-07-29 13:02:26,2018-07-29 13:02:32,"5,481s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Chrome 67.0.3396.99,Click Save and verify if saved in last folder,2018-07-29 13:02:32,2018-07-29 13:02:36,"3,927s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Chrome 67.0.3396.99,Click Delete by id and verify if deleted from last folder,2018-07-29 13:02:36,2018-07-29 13:02:46,"10,575s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Chrome 67.0.3396.99,click home page,2018-07-29 13:02:46,2018-07-29 13:02:46,"0,091s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Chrome 67.0.3396.99,logout from system,2018-07-29 13:02:46,2018-07-29 13:02:51,"4,646s",PASSED
closeBrowser,Chrome 67.0.3396.99,close browser,2018-07-29 13:02:51,2018-07-29 13:02:52,"0,714s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 13:02:52,2018-07-29 13:02:52,"0,000s",PASSED
