Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,IE 11,,2018-07-29 13:47:52,2018-07-29 13:49:38,"1m - 46,702s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,IE 11,,2018-07-29 13:47:52,2018-07-29 13:49:38,"1m - 46,177s",PASSED
Start listener action : beforeTestCase,IE 11,,2018-07-29 13:47:52,2018-07-29 13:47:57,"4,353s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),IE 11,login as content manager,2018-07-29 13:47:57,2018-07-29 13:48:11,"14,036s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),IE 11,"Right click the last folder and choose ""New Item"" ",2018-07-29 13:48:11,2018-07-29 13:48:24,"13,694s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),IE 11,choose template  ,2018-07-29 13:48:24,2018-07-29 13:48:33,"8,793s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),IE 11,fill property tab ,2018-07-29 13:48:33,2018-07-29 13:48:58,"25,175s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),IE 11,Click Save and verify if saved in last folder,2018-07-29 13:48:58,2018-07-29 13:49:04,"5,958s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),IE 11,Click Delete by id and verify if deleted from last folder,2018-07-29 13:49:04,2018-07-29 13:49:29,"24,549s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),IE 11,click home page,2018-07-29 13:49:29,2018-07-29 13:49:32,"2,912s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),IE 11,logout from system,2018-07-29 13:49:32,2018-07-29 13:49:38,"5,951s",PASSED
closeBrowser,IE 11,close browser,2018-07-29 13:49:38,2018-07-29 13:49:38,"0,535s",PASSED
Start listener action : afterTestCase,IE 11,,2018-07-29 13:49:38,2018-07-29 13:49:38,"0,103s",PASSED
