Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,IE 11,,2018-07-19 16:17:40,2018-07-19 17:18:40,"1h - 1m - 0,169s",FAILED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_Test_En,IE 11,,2018-07-19 16:17:40,2018-07-19 17:18:39,"1h - 59,397s",FAILED
Start listener action : beforeTestCase,IE 11,,2018-07-19 16:17:40,2018-07-19 16:17:43,"2,649s",PASSED
Statement - com.system.RolesHelper.getCm_En()._Login_En(),IE 11,login as content manager,2018-07-19 16:17:43,2018-07-19 16:22:24,"4m - 40,713s",PASSED
Statement - side_Bar._click_upper_button_create_item(),IE 11,create new item by clicking on CREATE NEW ITEM button,2018-07-19 16:22:24,2018-07-19 16:23:29,"1m - 5,299s",PASSED
Statement - general._choose_Template_By_Typing(),IE 11,choose template  ,2018-07-19 16:23:29,2018-07-19 16:25:04,"1m - 34,782s",PASSED
Statement - item_property_tab_general._verify_template_updateDate(),IE 11,verify template and updated time,2018-07-19 16:25:04,2018-07-19 16:25:45,"41,694s",PASSED
Statement - item_property_tab_general._set_Item_Name(),IE 11,set name for Item  ,2018-07-19 16:25:45,2018-07-19 16:27:58,"2m - 12,383s",PASSED
Statement - item_property_tab_general._write_short_description(),IE 11,write short description,2018-07-19 16:27:58,2018-07-19 16:30:08,"2m - 10,410s",PASSED
Statement - item_property_tab_general._choose_Status(ONLINE),IE 11,choose status  ,2018-07-19 16:30:08,2018-07-19 16:30:10,"2,132s",PASSED
Statement - item_property_tab_general._set_date_valid_from_status(),IE 11,set date from when item status will be valid,2018-07-19 16:30:10,2018-07-19 16:31:15,"1m - 5,228s",PASSED
Statement - item_property_tab_general._choose_status_after(ARCHIVE),IE 11,choose status after,2018-07-19 16:31:15,2018-07-19 16:31:18,"2,186s",PASSED
Statement - item_property_tab_general._set_date_valid_to_status(),IE 11,set date when item status will be valid to status after,2018-07-19 16:31:18,2018-07-19 16:32:23,"1m - 5,218s",PASSED
Statement - item_property_tab_general._check_active_version(),IE 11,check active version,2018-07-19 16:32:23,2018-07-19 16:32:56,"32,646s",PASSED
Statement - item_property_tab_general._set_date_active_version(),IE 11,set active version date from,2018-07-19 16:32:56,2018-07-19 16:34:01,"1m - 5,230s",PASSED
Statement - item_property_tab_general._check_print(true),IE 11,check print,2018-07-19 16:34:01,2018-07-19 16:34:33,"32,693s",PASSED
Statement - item_property_tab_general._check_email(true),IE 11,check email,2018-07-19 16:34:33,2018-07-19 16:35:06,"32,794s",PASSED
Statement - item_property_tab_general._check_feedback(true),IE 11,check feedback,2018-07-19 16:35:06,2018-07-19 16:35:39,"32,619s",PASSED
Statement - item_property_tab_general._check_bookmarks(true),IE 11,check bookmarks,2018-07-19 16:35:39,2018-07-19 16:36:12,"32,736s",PASSED
Statement - item_property_tab_general._check_fax(true),IE 11,check fax,2018-07-19 16:36:12,2018-07-19 16:36:44,"32,633s",PASSED
Statement - item_property_tab_general._check_search(true),IE 11,check show in search results,2018-07-19 16:36:44,2018-07-19 16:37:17,"32,674s",PASSED
Statement - item_property_tab_general._check_hit(true),IE 11,check hit list,2018-07-19 16:37:17,2018-07-19 16:37:50,"32,609s",PASSED
Statement - item_property_tab_general._check_likes(true),IE 11,check likes,2018-07-19 16:37:50,2018-07-19 16:38:22,"32,700s",PASSED
Statement - item_property_tab_general._check_follow(true),IE 11,check follow,2018-07-19 16:38:22,2018-07-19 16:38:55,"32,624s",PASSED
Statement - item_property_tab_general._check_comment(true),IE 11,check comments,2018-07-19 16:38:55,2018-07-19 16:39:28,"32,674s",PASSED
Statement - item_property_tab_general._check_add_home_page(true),IE 11,check add home page,2018-07-19 16:39:28,2018-07-19 16:40:31,"1m - 3,841s",PASSED
Statement - item_property_tab_general._write_sms_description(),IE 11,write sms description,2018-07-19 16:40:31,2018-07-19 16:41:04,"32,167s",PASSED
Statement - item_property_tab_general._browse_file(),IE 11,browse image,2018-07-19 16:41:04,2018-07-19 16:42:09,"1m - 5,880s",PASSED
Statement - item_property_tab_general._click_on_image(),IE 11,click on image and verify,2018-07-19 16:42:09,2018-07-19 16:43:17,"1m - 7,976s",PASSED
Statement - item_property_tab_general._write_promoted_key_words(),IE 11,write promoted item keywords,2018-07-19 16:43:17,2018-07-19 16:46:26,"3m - 8,218s",PASSED
Statement - bottom_Bar._click_save_and_relocate_to_lastFolder(),IE 11,save to last folder,2018-07-19 16:46:26,2018-07-19 16:51:17,"4m - 51,541s",PASSED
Statement - upper_bar._search_by_first_description_word(),IE 11,find item by each of description word in the search dropdown list,2018-07-19 16:51:17,2018-07-19 17:01:37,"10m - 20,106s",PASSED
Statement - com.system.RolesHelper.getCm_En()._delete_all_created_items(),IE 11,delete all items,2018-07-19 17:01:37,2018-07-19 17:18:39,"17m - 1,863s",PASSED
Start listener action : afterTestCase,IE 11,,2018-07-19 17:18:39,2018-07-19 17:18:39,"0,375s",PASSED
