Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
briefing,Firefox 61.0,,2018-07-17 16:37:36,2018-07-17 16:38:58,"1m - 21,526s",FAILED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_briefing_Test_En,Firefox 61.0,,2018-07-17 16:37:37,2018-07-17 16:38:58,"1m - 21,141s",FAILED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-17 16:37:37,2018-07-17 16:37:43,"6,621s",PASSED
Statement - com.system.RolesHelper.getCm_En()._Login_En(),Firefox 61.0,login as content manager,2018-07-17 16:37:43,2018-07-17 16:37:46,"2,373s",PASSED
Statement - com.system.RolesHelper.getCm_En().getSide_Bar()._click_upper_button_create_item(),Firefox 61.0,create new item by clicking on CREATE NEW ITEM button,2018-07-17 16:37:46,2018-07-17 16:38:04,"18,287s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBriefing()._choose_Template_By_Typing(),Firefox 61.0,choose template  ,2018-07-17 16:38:04,2018-07-17 16:38:07,"2,667s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBriefing().getItem_property_tab_Briefing()._fill_property_tab(),Firefox 61.0,fill property tab,2018-07-17 16:38:07,2018-07-17 16:38:28,"21,285s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBriefing().getEdit_Tab()._choose_Date_Edit_Item(),Firefox 61.0,sed updated date,2018-07-17 16:38:28,2018-07-17 16:38:31,"2,918s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBottom_Bar()._click_save_and_relocate_to_lastFolder(),Firefox 61.0,save to last folder,2018-07-17 16:38:31,2018-07-17 16:38:31,"0,403s",PASSED
Statement - com.system.RolesHelper.getCm_En()._click_save_and_check_if_number_of_items_incremented_in_lastFolder(),Firefox 61.0,verify if number of items was incremented in last folder,2018-07-17 16:38:31,2018-07-17 16:38:38,"6,803s",FAILED
Statement - com.system.RolesHelper.getCm_En().getUpper_bar()._search_by_first_description_word(),Firefox 61.0,find item by each of description word in the search dropdown list,2018-07-17 16:38:38,2018-07-17 16:38:38,"0,003s",PASSED
Statement - com.system.RolesHelper.getCm_En()._delete_all_created_items(),Firefox 61.0,delete all items,2018-07-17 16:38:38,2018-07-17 16:38:58,"19,685s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-17 16:38:58,2018-07-17 16:38:58,"0,005s",PASSED
