Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 12:20:20,2018-07-29 12:21:42,"1m - 22,291s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Firefox 61.0,,2018-07-29 12:20:21,2018-07-29 12:21:39,"1m - 18,132s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:20:21,2018-07-29 12:20:31,"9,990s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:20:31,2018-07-29 12:20:39,"8,101s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Firefox 61.0,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:20:39,2018-07-29 12:21:06,"26,954s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Firefox 61.0,choose template  ,2018-07-29 12:21:06,2018-07-29 12:21:12,"5,598s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,fill property tab ,2018-07-29 12:21:12,2018-07-29 12:21:18,"6,123s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Firefox 61.0,Click Save and verify if saved in last folder,2018-07-29 12:21:18,2018-07-29 12:21:22,"4,164s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Firefox 61.0,Click Delete by id and verify if deleted from last folder,2018-07-29 12:21:22,2018-07-29 12:21:34,"12,023s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 12:21:34,2018-07-29 12:21:34,"0,260s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 12:21:34,2018-07-29 12:21:39,"4,387s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 12:21:39,2018-07-29 12:21:39,"0,249s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:21:39,2018-07-29 12:21:39,"0,079s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Firefox 61.0,,2018-07-29 12:21:39,2018-07-29 12:21:42,"3,298s",ERROR
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:21:39,2018-07-29 12:21:39,"0,000s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:21:39,2018-07-29 12:21:42,"3,090s",FAILED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:21:42,2018-07-29 12:21:42,"0,062s",PASSED
