Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,IE 11,,2018-07-29 12:28:52,2018-07-29 12:30:12,"1m - 19,607s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,IE 11,,2018-07-29 12:28:53,2018-07-29 12:30:09,"1m - 15,779s",ERROR
Start listener action : beforeTestCase,IE 11,,2018-07-29 12:28:53,2018-07-29 12:28:58,"5,203s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),IE 11,login as content manager,2018-07-29 12:28:58,2018-07-29 12:30:08,"1m - 10,049s",FAILED
Start listener action : afterTestCase,IE 11,,2018-07-29 12:30:08,2018-07-29 12:30:09,"0,408s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,IE 11,,2018-07-29 12:30:09,2018-07-29 12:30:11,"2,444s",ERROR
Start listener action : beforeTestCase,IE 11,,2018-07-29 12:30:09,2018-07-29 12:30:09,"0,001s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),IE 11,login as content manager,2018-07-29 12:30:09,2018-07-29 12:30:11,"1,994s",FAILED
Start listener action : afterTestCase,IE 11,,2018-07-29 12:30:11,2018-07-29 12:30:11,"0,376s",PASSED
