Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Edge 17,,2018-07-29 12:54:55,2018-07-29 12:55:52,"56,478s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Edge 17,,2018-07-29 12:54:56,2018-07-29 12:55:51,"54,900s",ERROR
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:54:56,2018-07-29 12:55:02,"5,487s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:55:02,2018-07-29 12:55:09,"6,862s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Edge 17,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:55:09,2018-07-29 12:55:11,"2,892s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Edge 17,choose template  ,2018-07-29 12:55:11,2018-07-29 12:55:51,"39,544s",PASSED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:55:51,2018-07-29 12:55:51,"0,014s",PASSED
