Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Edge 17,,2018-07-29 12:52:38,2018-07-29 12:53:37,"58,932s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Edge 17,,2018-07-29 12:52:39,2018-07-29 12:53:36,"56,943s",ERROR
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:52:39,2018-07-29 12:52:46,"6,890s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:52:46,2018-07-29 12:52:53,"7,263s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Edge 17,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:52:53,2018-07-29 12:52:56,"3,041s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Edge 17,choose template  ,2018-07-29 12:52:56,2018-07-29 12:53:36,"39,572s",PASSED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:53:36,2018-07-29 12:53:36,"0,014s",PASSED
