Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Edge 17,,2018-07-29 12:28:52,2018-07-29 12:30:45,"1m - 52,157s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Edge 17,,2018-07-29 12:28:53,2018-07-29 12:29:52,"58,755s",ERROR
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:28:53,2018-07-29 12:29:00,"6,503s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:29:00,2018-07-29 12:29:09,"9,134s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Edge 17,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:29:09,2018-07-29 12:29:12,"3,061s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Edge 17,choose template  ,2018-07-29 12:29:12,2018-07-29 12:29:51,"39,562s",PASSED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:29:51,2018-07-29 12:29:52,"0,335s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Edge 17,,2018-07-29 12:29:52,2018-07-29 12:30:44,"51,889s",ERROR
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:29:52,2018-07-29 12:29:52,"0,001s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:29:52,2018-07-29 12:30:44,"51,702s",FAILED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:30:44,2018-07-29 12:30:44,"0,062s",PASSED
