Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-29 12:20:21,2018-07-29 12:22:32,"2m - 11,107s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:20:22,2018-07-29 12:21:38,"1m - 16,432s",ERROR
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:20:22,2018-07-29 12:20:33,"11,292s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:20:33,2018-07-29 12:20:56,"23,101s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Chrome 67.0.3396.99,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:20:56,2018-07-29 12:20:58,"1,272s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Chrome 67.0.3396.99,choose template  ,2018-07-29 12:20:58,2018-07-29 12:21:38,"40,435s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:21:38,2018-07-29 12:21:38,"0,108s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:21:38,2018-07-29 12:22:31,"52,910s",ERROR
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:21:38,2018-07-29 12:21:38,"0,001s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:21:38,2018-07-29 12:22:31,"52,630s",FAILED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:22:31,2018-07-29 12:22:31,"0,070s",PASSED
