Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 12:52:38,2018-07-29 12:53:49,"1m - 11,004s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Firefox 61.0,,2018-07-29 12:52:39,2018-07-29 12:53:49,"1m - 9,765s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:52:39,2018-07-29 12:52:48,"8,546s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:52:48,2018-07-29 12:52:54,"5,694s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Firefox 61.0,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:52:54,2018-07-29 12:53:16,"22,103s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Firefox 61.0,choose template  ,2018-07-29 12:53:16,2018-07-29 12:53:21,"5,561s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,fill property tab ,2018-07-29 12:53:21,2018-07-29 12:53:27,"5,888s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Firefox 61.0,Click Save and verify if saved in last folder,2018-07-29 12:53:27,2018-07-29 12:53:31,"3,994s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Firefox 61.0,Click Delete by id and verify if deleted from last folder,2018-07-29 12:53:31,2018-07-29 12:53:45,"13,935s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 12:53:45,2018-07-29 12:53:45,"0,289s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 12:53:45,2018-07-29 12:53:49,"3,353s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 12:53:49,2018-07-29 12:53:49,"0,239s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:53:49,2018-07-29 12:53:49,"0,001s",PASSED
