Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Edge 17,,2018-07-29 12:36:10,2018-07-29 12:37:07,"56,284s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Edge 17,,2018-07-29 12:36:11,2018-07-29 12:37:06,"55,434s",PASSED
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:36:11,2018-07-29 12:36:17,"6,594s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:36:18,2018-07-29 12:36:25,"7,228s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().clickUpperButtonCreateItem(),Edge 17,create new item by clicking on CREATE NEW ITEM button,2018-07-29 12:36:25,2018-07-29 12:36:28,"2,831s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(),Edge 17,choose template  ,2018-07-29 12:36:28,2018-07-29 12:36:30,"2,300s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Edge 17,set item name,2018-07-29 12:36:30,2018-07-29 12:36:39,"8,898s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getGeneralTab().getHtmlEditor().clickEditHTML(),Edge 17,set updated date,2018-07-29 12:36:39,2018-07-29 12:36:43,"4,450s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSaveAndRelocateToLastFolder(),Edge 17,save to last folder,2018-07-29 12:36:43,2018-07-29 12:36:49,"5,654s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().searchByFirstDescriptionWord(),Edge 17,find item by each of description word in the search dropdown list,2018-07-29 12:36:49,2018-07-29 12:36:49,"0,001s",NOT_RUN
Statement - com.system.RolesHelper.getCm_En().deleteAllCreatedItems(),Edge 17,delete all items,2018-07-29 12:36:49,2018-07-29 12:37:03,"13,740s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Edge 17,click home page,2018-07-29 12:37:03,2018-07-29 12:37:03,"0,050s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Edge 17,logout from system,2018-07-29 12:37:03,2018-07-29 12:37:05,"2,620s",PASSED
closeBrowser,Edge 17,close browser,2018-07-29 12:37:05,2018-07-29 12:37:06,"0,918s",PASSED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:37:06,2018-07-29 12:37:06,"0,001s",PASSED
