Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-19 17:19:40,2018-07-19 17:20:46,"1m - 5,849s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_Test_En,Chrome 67.0.3396.99,,2018-07-19 17:19:41,2018-07-19 17:20:46,"1m - 5,064s",ERROR
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-19 17:19:41,2018-07-19 17:19:50,"9,881s",PASSED
Statement - com.system.RolesHelper.getCm_En()._Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-19 17:19:50,2018-07-19 17:20:03,"12,747s",PASSED
Statement - side_Bar._click_upper_button_create_item(),Chrome 67.0.3396.99,create new item by clicking on CREATE NEW ITEM button,2018-07-19 17:20:03,2018-07-19 17:20:04,"1,221s",PASSED
Statement - general._choose_Template_By_Typing(),Chrome 67.0.3396.99,choose template  ,2018-07-19 17:20:04,2018-07-19 17:20:07,"2,410s",PASSED
Statement - item_property_tab_general._verify_template_updateDate(),Chrome 67.0.3396.99,verify template and updated time,2018-07-19 17:20:07,2018-07-19 17:20:15,"8,338s",PASSED
Statement - item_property_tab_general._set_Item_Name(),Chrome 67.0.3396.99,set name for Item  ,2018-07-19 17:20:15,2018-07-19 17:20:17,"1,918s",PASSED
Statement - item_property_tab_general._write_short_description(),Chrome 67.0.3396.99,write short description,2018-07-19 17:20:17,2018-07-19 17:20:19,"1,740s",PASSED
Statement - item_property_tab_general._choose_Status(ONLINE),Chrome 67.0.3396.99,choose status  ,2018-07-19 17:20:19,2018-07-19 17:20:19,"0,266s",PASSED
Statement - item_property_tab_general._set_date_valid_from_status(),Chrome 67.0.3396.99,set date from when item status will be valid,2018-07-19 17:20:19,2018-07-19 17:20:20,"0,648s",PASSED
Statement - item_property_tab_general._choose_status_after(ARCHIVE),Chrome 67.0.3396.99,choose status after,2018-07-19 17:20:20,2018-07-19 17:20:20,"0,234s",PASSED
Statement - item_property_tab_general._set_date_valid_to_status(),Chrome 67.0.3396.99,set date when item status will be valid to status after,2018-07-19 17:20:20,2018-07-19 17:20:21,"0,628s",PASSED
Statement - item_property_tab_general._check_active_version(),Chrome 67.0.3396.99,check active version,2018-07-19 17:20:21,2018-07-19 17:20:21,"0,240s",PASSED
Statement - item_property_tab_general._set_date_active_version(),Chrome 67.0.3396.99,set active version date from,2018-07-19 17:20:21,2018-07-19 17:20:22,"0,666s",PASSED
Statement - item_property_tab_general._check_print(true),Chrome 67.0.3396.99,check print,2018-07-19 17:20:22,2018-07-19 17:20:22,"0,230s",PASSED
Statement - item_property_tab_general._check_email(true),Chrome 67.0.3396.99,check email,2018-07-19 17:20:22,2018-07-19 17:20:22,"0,215s",PASSED
Statement - item_property_tab_general._check_feedback(true),Chrome 67.0.3396.99,check feedback,2018-07-19 17:20:22,2018-07-19 17:20:22,"0,223s",PASSED
Statement - item_property_tab_general._check_bookmarks(true),Chrome 67.0.3396.99,check bookmarks,2018-07-19 17:20:22,2018-07-19 17:20:22,"0,229s",PASSED
Statement - item_property_tab_general._check_fax(true),Chrome 67.0.3396.99,check fax,2018-07-19 17:20:22,2018-07-19 17:20:23,"0,227s",PASSED
Statement - item_property_tab_general._check_search(true),Chrome 67.0.3396.99,check show in search results,2018-07-19 17:20:23,2018-07-19 17:20:23,"0,219s",PASSED
Statement - item_property_tab_general._check_hit(true),Chrome 67.0.3396.99,check hit list,2018-07-19 17:20:23,2018-07-19 17:20:23,"0,238s",PASSED
Statement - item_property_tab_general._check_likes(true),Chrome 67.0.3396.99,check likes,2018-07-19 17:20:23,2018-07-19 17:20:23,"0,229s",PASSED
Statement - item_property_tab_general._check_follow(true),Chrome 67.0.3396.99,check follow,2018-07-19 17:20:23,2018-07-19 17:20:24,"0,214s",PASSED
Statement - item_property_tab_general._check_comment(true),Chrome 67.0.3396.99,check comments,2018-07-19 17:20:24,2018-07-19 17:20:24,"0,209s",PASSED
Statement - item_property_tab_general._check_add_home_page(true),Chrome 67.0.3396.99,check add home page,2018-07-19 17:20:24,2018-07-19 17:20:24,"0,321s",PASSED
Statement - item_property_tab_general._write_sms_description(),Chrome 67.0.3396.99,write sms description,2018-07-19 17:20:24,2018-07-19 17:20:24,"0,198s",PASSED
Statement - item_property_tab_general._browse_file(),Chrome 67.0.3396.99,browse image,2018-07-19 17:20:24,2018-07-19 17:20:40,"15,929s",PASSED
Statement - item_property_tab_general._click_on_image(),Chrome 67.0.3396.99,click on image and verify,2018-07-19 17:20:40,2018-07-19 17:20:45,"5,257s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-19 17:20:45,2018-07-19 17:20:46,"0,074s",PASSED
