Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-29 12:28:52,2018-07-29 12:30:57,"2m - 5,377s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:28:53,2018-07-29 12:30:04,"1m - 11,152s",ERROR
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:28:53,2018-07-29 12:29:02,"9,376s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:29:02,2018-07-29 12:29:23,"20,106s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Chrome 67.0.3396.99,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:29:23,2018-07-29 12:29:24,"1,010s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Chrome 67.0.3396.99,choose template  ,2018-07-29 12:29:24,2018-07-29 12:30:04,"40,348s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:30:04,2018-07-29 12:30:04,"0,107s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:30:04,2018-07-29 12:30:57,"52,815s",ERROR
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:30:04,2018-07-29 12:30:04,"0,000s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:30:04,2018-07-29 12:30:57,"52,697s",FAILED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:30:57,2018-07-29 12:30:57,"0,042s",PASSED
