Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-29 12:28:51,2018-07-29 12:30:57,"2m - 5,362s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:28:52,2018-07-29 12:30:03,"1m - 11,577s",ERROR
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:28:52,2018-07-29 12:29:01,"9,691s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:29:01,2018-07-29 12:29:21,"19,907s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Chrome 67.0.3396.99,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:29:21,2018-07-29 12:29:23,"1,424s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Chrome 67.0.3396.99,choose template  ,2018-07-29 12:29:23,2018-07-29 12:30:03,"40,331s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:30:03,2018-07-29 12:30:03,"0,099s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:30:03,2018-07-29 12:30:56,"52,730s",ERROR
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:30:03,2018-07-29 12:30:03,"0,001s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:30:03,2018-07-29 12:30:56,"52,583s",FAILED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:30:56,2018-07-29 12:30:56,"0,065s",PASSED
