Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Edge 17,,2018-07-29 13:01:54,2018-07-29 13:02:51,"57,643s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Edge 17,,2018-07-29 13:01:54,2018-07-29 13:02:50,"56,227s",ERROR
Start listener action : beforeTestCase,Edge 17,,2018-07-29 13:01:54,2018-07-29 13:02:01,"6,548s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 13:02:01,2018-07-29 13:02:08,"7,041s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Edge 17,"Right click the last folder and choose ""New Item"" ",2018-07-29 13:02:08,2018-07-29 13:02:11,"2,942s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Edge 17,choose template  ,2018-07-29 13:02:11,2018-07-29 13:02:50,"39,559s",PASSED
Start listener action : afterTestCase,Edge 17,,2018-07-29 13:02:50,2018-07-29 13:02:50,"0,013s",PASSED
