Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-19 17:22:02,2018-07-19 17:23:43,"1m - 40,602s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_Test_En,Chrome 67.0.3396.99,,2018-07-19 17:22:02,2018-07-19 17:23:43,"1m - 40,357s",PASSED
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-19 17:22:02,2018-07-19 17:22:11,"8,413s",PASSED
Statement - com.system.RolesHelper.getCm_En()._Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-19 17:22:11,2018-07-19 17:22:24,"13,252s",PASSED
Statement - side_Bar._click_upper_button_create_item(),Chrome 67.0.3396.99,create new item by clicking on CREATE NEW ITEM button,2018-07-19 17:22:24,2018-07-19 17:22:25,"1,222s",PASSED
Statement - general._choose_Template_By_Typing(),Chrome 67.0.3396.99,choose template  ,2018-07-19 17:22:25,2018-07-19 17:22:28,"2,376s",PASSED
Statement - item_property_tab_general._verify_template_updateDate(),Chrome 67.0.3396.99,verify template and updated time,2018-07-19 17:22:28,2018-07-19 17:22:36,"8,349s",PASSED
Statement - item_property_tab_general._set_Item_Name(),Chrome 67.0.3396.99,set name for Item  ,2018-07-19 17:22:36,2018-07-19 17:22:38,"1,922s",PASSED
Statement - item_property_tab_general._write_short_description(),Chrome 67.0.3396.99,write short description,2018-07-19 17:22:38,2018-07-19 17:22:40,"1,766s",PASSED
Statement - item_property_tab_general._choose_Status(ONLINE),Chrome 67.0.3396.99,choose status  ,2018-07-19 17:22:40,2018-07-19 17:22:40,"0,263s",PASSED
Statement - item_property_tab_general._set_date_valid_from_status(),Chrome 67.0.3396.99,set date from when item status will be valid,2018-07-19 17:22:40,2018-07-19 17:22:41,"0,756s",PASSED
Statement - item_property_tab_general._choose_status_after(ARCHIVE),Chrome 67.0.3396.99,choose status after,2018-07-19 17:22:41,2018-07-19 17:22:41,"0,236s",PASSED
Statement - item_property_tab_general._set_date_valid_to_status(),Chrome 67.0.3396.99,set date when item status will be valid to status after,2018-07-19 17:22:41,2018-07-19 17:22:42,"0,710s",PASSED
Statement - item_property_tab_general._check_active_version(),Chrome 67.0.3396.99,check active version,2018-07-19 17:22:42,2018-07-19 17:22:42,"0,263s",PASSED
Statement - item_property_tab_general._set_date_active_version(),Chrome 67.0.3396.99,set active version date from,2018-07-19 17:22:42,2018-07-19 17:22:42,"0,696s",PASSED
Statement - item_property_tab_general._check_print(true),Chrome 67.0.3396.99,check print,2018-07-19 17:22:42,2018-07-19 17:22:43,"0,231s",PASSED
Statement - item_property_tab_general._check_email(true),Chrome 67.0.3396.99,check email,2018-07-19 17:22:43,2018-07-19 17:22:43,"0,225s",PASSED
