Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 13:01:54,2018-07-29 13:02:58,"1m - 4,686s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Firefox 61.0,,2018-07-29 13:01:54,2018-07-29 13:02:58,"1m - 3,989s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 13:01:54,2018-07-29 13:02:02,"7,898s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 13:02:02,2018-07-29 13:02:08,"5,422s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Firefox 61.0,"Right click the last folder and choose ""New Item"" ",2018-07-29 13:02:08,2018-07-29 13:02:27,"18,738s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Firefox 61.0,choose template  ,2018-07-29 13:02:27,2018-07-29 13:02:32,"5,593s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,fill property tab ,2018-07-29 13:02:32,2018-07-29 13:02:38,"5,954s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Firefox 61.0,Click Save and verify if saved in last folder,2018-07-29 13:02:38,2018-07-29 13:02:42,"4,050s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Firefox 61.0,Click Delete by id and verify if deleted from last folder,2018-07-29 13:02:42,2018-07-29 13:02:54,"11,955s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 13:02:54,2018-07-29 13:02:54,"0,262s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 13:02:54,2018-07-29 13:02:58,"3,770s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 13:02:58,2018-07-29 13:02:58,"0,224s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 13:02:58,2018-07-29 13:02:58,"0,004s",PASSED
