Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delete_All,Chrome 67.0.3396.99,,2018-07-29 12:52:38,2018-07-29 12:53:11,"32,214s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Deletion/Delete_all_Created_Items_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:52:39,2018-07-29 12:53:10,"31,013s",PASSED
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:52:39,2018-07-29 12:52:48,"8,969s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:52:48,2018-07-29 12:53:06,"17,412s",PASSED
Statement - com.system.RolesHelper.getCm_En().deleteAllCreatedItems(),Chrome 67.0.3396.99,delete all items,2018-07-29 12:53:06,2018-07-29 12:53:06,"0,001s",NOT_RUN
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Chrome 67.0.3396.99,logout from system,2018-07-29 12:53:06,2018-07-29 12:53:09,"3,776s",PASSED
closeBrowser,Chrome 67.0.3396.99,close browser,2018-07-29 12:53:09,2018-07-29 12:53:10,"0,722s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:53:10,2018-07-29 12:53:10,"0,006s",PASSED
