Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-19 17:20:48,2018-07-19 17:22:00,"1m - 12,928s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_Test_En,Firefox 61.0,,2018-07-19 17:20:48,2018-07-19 17:22:00,"1m - 12,429s",ERROR
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-19 17:20:48,2018-07-19 17:20:54,"6,634s",PASSED
Statement - com.system.RolesHelper.getCm_En()._Login_En(),Firefox 61.0,login as content manager,2018-07-19 17:20:54,2018-07-19 17:20:57,"2,530s",PASSED
Statement - side_Bar._click_upper_button_create_item(),Firefox 61.0,create new item by clicking on CREATE NEW ITEM button,2018-07-19 17:20:57,2018-07-19 17:21:15,"17,937s",PASSED
Statement - general._choose_Template_By_Typing(),Firefox 61.0,choose template  ,2018-07-19 17:21:15,2018-07-19 17:21:17,"2,474s",PASSED
Statement - item_property_tab_general._verify_template_updateDate(),Firefox 61.0,verify template and updated time,2018-07-19 17:21:17,2018-07-19 17:21:26,"8,748s",PASSED
Statement - item_property_tab_general._set_Item_Name(),Firefox 61.0,set name for Item  ,2018-07-19 17:21:26,2018-07-19 17:21:28,"2,165s",PASSED
Statement - item_property_tab_general._write_short_description(),Firefox 61.0,write short description,2018-07-19 17:21:28,2018-07-19 17:21:30,"2,018s",PASSED
Statement - item_property_tab_general._choose_Status(ONLINE),Firefox 61.0,choose status  ,2018-07-19 17:21:30,2018-07-19 17:21:31,"0,385s",PASSED
Statement - item_property_tab_general._set_date_valid_from_status(),Firefox 61.0,set date from when item status will be valid,2018-07-19 17:21:31,2018-07-19 17:21:31,"0,496s",PASSED
Statement - item_property_tab_general._choose_status_after(ARCHIVE),Firefox 61.0,choose status after,2018-07-19 17:21:31,2018-07-19 17:21:32,"0,365s",PASSED
Statement - item_property_tab_general._set_date_valid_to_status(),Firefox 61.0,set date when item status will be valid to status after,2018-07-19 17:21:32,2018-07-19 17:21:32,"0,427s",PASSED
Statement - item_property_tab_general._check_active_version(),Firefox 61.0,check active version,2018-07-19 17:21:32,2018-07-19 17:21:32,"0,243s",PASSED
Statement - item_property_tab_general._set_date_active_version(),Firefox 61.0,set active version date from,2018-07-19 17:21:32,2018-07-19 17:21:33,"0,380s",PASSED
Statement - item_property_tab_general._check_print(true),Firefox 61.0,check print,2018-07-19 17:21:33,2018-07-19 17:21:33,"0,225s",PASSED
Statement - item_property_tab_general._check_email(true),Firefox 61.0,check email,2018-07-19 17:21:33,2018-07-19 17:21:33,"0,222s",PASSED
Statement - item_property_tab_general._check_feedback(true),Firefox 61.0,check feedback,2018-07-19 17:21:33,2018-07-19 17:21:33,"0,222s",PASSED
Statement - item_property_tab_general._check_bookmarks(true),Firefox 61.0,check bookmarks,2018-07-19 17:21:33,2018-07-19 17:21:34,"0,214s",PASSED
Statement - item_property_tab_general._check_fax(true),Firefox 61.0,check fax,2018-07-19 17:21:34,2018-07-19 17:21:34,"0,207s",PASSED
Statement - item_property_tab_general._check_search(true),Firefox 61.0,check show in search results,2018-07-19 17:21:34,2018-07-19 17:21:34,"0,206s",PASSED
Statement - item_property_tab_general._check_hit(true),Firefox 61.0,check hit list,2018-07-19 17:21:34,2018-07-19 17:21:34,"0,206s",PASSED
Statement - item_property_tab_general._check_likes(true),Firefox 61.0,check likes,2018-07-19 17:21:34,2018-07-19 17:21:34,"0,207s",PASSED
Statement - item_property_tab_general._check_follow(true),Firefox 61.0,check follow,2018-07-19 17:21:34,2018-07-19 17:21:35,"0,214s",PASSED
Statement - item_property_tab_general._check_comment(true),Firefox 61.0,check comments,2018-07-19 17:21:35,2018-07-19 17:21:35,"0,232s",PASSED
Statement - item_property_tab_general._check_add_home_page(true),Firefox 61.0,check add home page,2018-07-19 17:21:35,2018-07-19 17:21:35,"0,475s",PASSED
Statement - item_property_tab_general._write_sms_description(),Firefox 61.0,write sms description,2018-07-19 17:21:35,2018-07-19 17:21:35,"0,127s",PASSED
Statement - item_property_tab_general._browse_file(),Firefox 61.0,browse image,2018-07-19 17:21:35,2018-07-19 17:21:39,"3,118s",PASSED
Statement - item_property_tab_general._click_on_image(),Firefox 61.0,click on image and verify,2018-07-19 17:21:39,2018-07-19 17:22:00,"21,592s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-19 17:22:00,2018-07-19 17:22:00,"0,046s",PASSED
