Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-29 12:36:10,2018-07-29 12:37:17,"1m - 6,432s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Chrome 67.0.3396.99,,2018-07-29 12:36:11,2018-07-29 12:37:17,"1m - 5,593s",PASSED
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 12:36:11,2018-07-29 12:36:20,"8,538s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 12:36:20,2018-07-29 12:36:37,"16,831s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().clickUpperButtonCreateItem(),Chrome 67.0.3396.99,create new item by clicking on CREATE NEW ITEM button,2018-07-29 12:36:37,2018-07-29 12:36:37,"0,818s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(),Chrome 67.0.3396.99,choose template  ,2018-07-29 12:36:37,2018-07-29 12:36:40,"2,404s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Chrome 67.0.3396.99,set item name,2018-07-29 12:36:40,2018-07-29 12:36:48,"7,904s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getGeneralTab().getHtmlEditor().clickEditHTML(),Chrome 67.0.3396.99,set updated date,2018-07-29 12:36:48,2018-07-29 12:36:53,"4,974s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSaveAndRelocateToLastFolder(),Chrome 67.0.3396.99,save to last folder,2018-07-29 12:36:53,2018-07-29 12:36:59,"6,117s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().searchByFirstDescriptionWord(),Chrome 67.0.3396.99,find item by each of description word in the search dropdown list,2018-07-29 12:36:59,2018-07-29 12:36:59,"0,000s",NOT_RUN
Statement - com.system.RolesHelper.getCm_En().deleteAllCreatedItems(),Chrome 67.0.3396.99,delete all items,2018-07-29 12:36:59,2018-07-29 12:37:12,"13,550s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Chrome 67.0.3396.99,click home page,2018-07-29 12:37:12,2018-07-29 12:37:12,"0,114s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Chrome 67.0.3396.99,logout from system,2018-07-29 12:37:12,2018-07-29 12:37:16,"3,542s",PASSED
closeBrowser,Chrome 67.0.3396.99,close browser,2018-07-29 12:37:16,2018-07-29 12:37:17,"0,631s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 12:37:17,2018-07-29 12:37:17,"0,003s",PASSED
