Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,IE 11,,2018-07-29 12:52:38,2018-07-29 12:54:07,"1m - 28,882s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,IE 11,,2018-07-29 12:52:39,2018-07-29 12:54:06,"1m - 27,348s",ERROR
Start listener action : beforeTestCase,IE 11,,2018-07-29 12:52:39,2018-07-29 12:52:44,"5,029s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),IE 11,login as content manager,2018-07-29 12:52:44,2018-07-29 12:52:59,"14,315s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),IE 11,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:52:59,2018-07-29 12:53:05,"6,017s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),IE 11,choose template  ,2018-07-29 12:53:05,2018-07-29 12:54:06,"1m - 1,508s",PASSED
Start listener action : afterTestCase,IE 11,,2018-07-29 12:54:06,2018-07-29 12:54:06,"0,324s",PASSED
