Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Edge 17,,2018-07-29 12:20:20,2018-07-29 12:22:30,"2m - 9,964s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Edge 17,,2018-07-29 12:20:21,2018-07-29 12:21:37,"1m - 16,354s",ERROR
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:20:21,2018-07-29 12:20:33,"11,956s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:20:33,2018-07-29 12:20:42,"8,480s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Edge 17,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:20:42,2018-07-29 12:20:57,"15,725s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Edge 17,choose template  ,2018-07-29 12:20:57,2018-07-29 12:21:37,"39,575s",PASSED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:21:37,2018-07-29 12:21:37,"0,419s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Edge 17,,2018-07-29 12:21:37,2018-07-29 12:22:29,"51,879s",ERROR
Start listener action : beforeTestCase,Edge 17,,2018-07-29 12:21:37,2018-07-29 12:21:37,"0,001s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Edge 17,login as content manager,2018-07-29 12:21:37,2018-07-29 12:22:29,"51,722s",FAILED
Start listener action : afterTestCase,Edge 17,,2018-07-29 12:22:29,2018-07-29 12:22:29,"0,073s",PASSED
