Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Chrome 67.0.3396.99,,2018-07-29 13:47:53,2018-07-29 13:48:52,"58,801s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Chrome 67.0.3396.99,,2018-07-29 13:47:53,2018-07-29 13:48:52,"58,056s",PASSED
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-29 13:47:53,2018-07-29 13:48:02,"8,614s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-29 13:48:02,2018-07-29 13:48:19,"17,035s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Chrome 67.0.3396.99,"Right click the last folder and choose ""New Item"" ",2018-07-29 13:48:19,2018-07-29 13:48:21,"1,468s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Chrome 67.0.3396.99,choose template  ,2018-07-29 13:48:21,2018-07-29 13:48:26,"5,449s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Chrome 67.0.3396.99,fill property tab ,2018-07-29 13:48:26,2018-07-29 13:48:32,"5,657s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Chrome 67.0.3396.99,Click Save and verify if saved in last folder,2018-07-29 13:48:32,2018-07-29 13:48:36,"3,890s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Chrome 67.0.3396.99,Click Delete by id and verify if deleted from last folder,2018-07-29 13:48:36,2018-07-29 13:48:46,"10,257s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Chrome 67.0.3396.99,click home page,2018-07-29 13:48:46,2018-07-29 13:48:46,"0,113s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Chrome 67.0.3396.99,logout from system,2018-07-29 13:48:46,2018-07-29 13:48:51,"4,713s",PASSED
closeBrowser,Chrome 67.0.3396.99,close browser,2018-07-29 13:48:51,2018-07-29 13:48:52,"0,746s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-29 13:48:52,2018-07-29 13:48:52,"0,000s",PASSED
