Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 13:47:53,2018-07-29 13:48:57,"1m - 3,730s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Firefox 61.0,,2018-07-29 13:47:54,2018-07-29 13:48:57,"1m - 2,973s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 13:47:54,2018-07-29 13:48:01,"7,600s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 13:48:01,2018-07-29 13:48:07,"5,801s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Firefox 61.0,"Right click the last folder and choose ""New Item"" ",2018-07-29 13:48:07,2018-07-29 13:48:26,"18,848s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Firefox 61.0,choose template  ,2018-07-29 13:48:26,2018-07-29 13:48:32,"5,661s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,fill property tab ,2018-07-29 13:48:32,2018-07-29 13:48:38,"5,998s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Firefox 61.0,Click Save and verify if saved in last folder,2018-07-29 13:48:38,2018-07-29 13:48:41,"3,722s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Firefox 61.0,Click Delete by id and verify if deleted from last folder,2018-07-29 13:48:41,2018-07-29 13:48:52,"10,896s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 13:48:52,2018-07-29 13:48:52,"0,274s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 13:48:52,2018-07-29 13:48:56,"3,814s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 13:48:56,2018-07-29 13:48:57,"0,259s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 13:48:57,2018-07-29 13:48:57,"0,001s",PASSED
