Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 12:28:52,2018-07-29 12:30:02,"1m - 10,273s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Firefox 61.0,,2018-07-29 12:28:53,2018-07-29 12:29:59,"1m - 6,094s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:28:53,2018-07-29 12:29:02,"8,596s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:29:02,2018-07-29 12:29:09,"6,982s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Firefox 61.0,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:29:09,2018-07-29 12:29:27,"18,799s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Firefox 61.0,choose template  ,2018-07-29 12:29:27,2018-07-29 12:29:33,"5,582s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,fill property tab ,2018-07-29 12:29:33,2018-07-29 12:29:39,"5,934s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Firefox 61.0,Click Save and verify if saved in last folder,2018-07-29 12:29:39,2018-07-29 12:29:43,"4,176s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Firefox 61.0,Click Delete by id and verify if deleted from last folder,2018-07-29 12:29:43,2018-07-29 12:29:55,"11,454s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 12:29:55,2018-07-29 12:29:55,"0,264s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 12:29:55,2018-07-29 12:29:59,"3,810s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 12:29:59,2018-07-29 12:29:59,"0,291s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:29:59,2018-07-29 12:29:59,"0,095s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Firefox 61.0,,2018-07-29 12:29:59,2018-07-29 12:30:02,"3,262s",ERROR
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:29:59,2018-07-29 12:29:59,"0,001s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:29:59,2018-07-29 12:30:02,"3,128s",FAILED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:30:02,2018-07-29 12:30:02,"0,055s",PASSED
