Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 12:28:50,2018-07-29 12:30:03,"1m - 12,915s",ERROR
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_delete_general_by_rightclick_Test_En,Firefox 61.0,,2018-07-29 12:28:51,2018-07-29 12:30:00,"1m - 9,088s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:28:51,2018-07-29 12:29:02,"10,985s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:29:02,2018-07-29 12:29:09,"7,053s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().newItemAction(),Firefox 61.0,"Right click the last folder and choose ""New Item"" ",2018-07-29 12:29:09,2018-07-29 12:29:28,"18,833s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(true),Firefox 61.0,choose template  ,2018-07-29 12:29:28,2018-07-29 12:29:34,"5,610s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,fill property tab ,2018-07-29 12:29:34,2018-07-29 12:29:40,"5,893s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSave(),Firefox 61.0,Click Save and verify if saved in last folder,2018-07-29 12:29:40,2018-07-29 12:29:44,"4,095s",PASSED
Statement - com.system.RolesHelper.getCm_En().getItemsTree().deleteById(),Firefox 61.0,Click Delete by id and verify if deleted from last folder,2018-07-29 12:29:44,2018-07-29 12:29:56,"12,032s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 12:29:56,2018-07-29 12:29:56,"0,264s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 12:29:56,2018-07-29 12:30:00,"3,834s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 12:30:00,2018-07-29 12:30:00,"0,243s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:30:00,2018-07-29 12:30:00,"0,066s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Firefox 61.0,,2018-07-29 12:30:00,2018-07-29 12:30:03,"3,240s",ERROR
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:30:00,2018-07-29 12:30:00,"0,001s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:30:00,2018-07-29 12:30:03,"3,109s",FAILED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:30:03,2018-07-29 12:30:03,"0,056s",PASSED
